'	、
ihu	請
ii	申
ii	丨
iie	訌
ij	甫
ijd	證
ijj	計
ijjv	誶
ijn	訣
ijny	講
ijo	詁
ijqs	諫
ik	讓
ika	訴
iki	訢
ikk	巧
ikrl	諶
il	該
ilad	識
ild	諳
ilh	該
ilnf	謗
ilnn	諦
ilno	謫
ilok	讓
ilos	諒
iloz	諄
ilx	詨
im	誨
imb	貢
ime	詛
imno	譎
imw	謎
in	欠
inb	訥
ind	詢
inf	鵝
ing	諂
ingv	詫
inli	譫
inlp	詭
inm	誼
inoa	讒
inyo	調
io	言
iokd	誤
ioot	譟
ip	評
ipa	訃
ipf	訛
ipj	評
ipo	詻
ipx	攻
ipxv	詖
ipzw	誕
iq	讚
iqi	申
iqim	暢
iqk	誑
iqn	謙
iqo	由
iqt	課
iqu	謂
iqur	冑
iquv	胄
iqw	迪
iqx	曳
ir	說
irac	鞏
irah	恐
irc	謹
ircv	諷
irdd	謨
irfs	謊
irjq	譁
irp	敢
irqn	巬
irss	誹
iru	設
irv	誡
irvu	護
irxo	諾
is	謊
isa	謝
isi	訓
isnf	讜
iso	誥
isrb	讚
iss	誅
ist	諜
isu	誚
it	譴
iti	訂
itmb	項
itnq	誦
ito	訶
iu	護
iuj	訏
iun	詠
iuwu	謠
iv	試
ive	誰
ivf	詐
ivfv	譙
ivom	誨
ivz	訖
iw	誕
iwe	誣
iwj	許
iwlm	諺
iwn	這
iwnv	汞
iwo	語
iwos	諱
iwv	汞
iwwb	譏
ix	我
ixe	詆
ixf	詼
ixp	訝
iy	講
iya	詩
iydo	譆
iyeo	詞
iyfb	讀
iyh	誌
iyo	詰
iypd	諸
iz	掀
izj	訊
j	十
ja	祭
jaa	丼
jado	搶
jai	撳
jaja	博
jajav	搏
jajq	捕
jak	拄
jam	掄
jao	拾
jaob	撿
jaq	找
jaqb	戴
jaqc	載
jaqh	撼
jaqk	裁
jaqo	哉
jaqt	栽
jaqv	截
jat	拎
jav	搏
jaxi	拭
jaxx	拔
jayh	捻
jb	戴
jbby	挫
jbd	扮
jbea	撙
jbeb	擲
jbgo	捨
jbj	拌
jbk	拼
jbki	搓
jbkv	拴
jbl	批
jblu	擒
jbn	扒
jbnp	捲
jbp	扖
